chunk_length,embedder,num_docs,overlap_percentage,retriever,1 - accuracy,number of documents
456,nomic-embed-text,1,0.326627991914,ensemble,0.513,1.0
295,nomic-embed-text,17,0.2241425315523,ensemble,0.21199999999999997,17.0
365,mxbai-embed-large,2,0.1337509253058,ensemble,0.43999999999999995,2.0
343,nomic-embed-text,13,0.215962366488,ensemble,0.22899999999999998,13.0
365,mxbai-embed-large,3,0.1465513099536,ensemble,0.38,3.0
312,nomic-embed-text,9,0.3695832685514,ensemble,0.261,9.0
363,mxbai-embed-large,5,0.1368683951439,ensemble,0.33399999999999996,5.0
125,nomic-embed-text,12,0.3323954261839,ensemble,0.247,12.0
295,mxbai-embed-large,7,0.1291576511635,ensemble,0.29700000000000004,7.0
362,mxbai-embed-large,4,0.1545063989673,ensemble,0.35,4.0
