chunk_length,overlap_percentage,retriever,embedder,1 - accuracy,number of documents
207,0.1847104948014,ensemble,bert-base-italian-xxl-cased,0.52,3
482,0.4065265886486,base,mxbai-embed-large,0.44199999999999995,18
350,0.2603518959135,base,bert-base-italian-xxl-cased,0.7130000000000001,8
125,0.3323954261839,ensemble,nomic-embed-text,0.247,12
184,0.3949721731246,ensemble,biobert-base-cased,0.33199999999999996,17
337,0.1409830542123,ensemble,bert-base-cased,0.496,4
288,0.1566652939144,ensemble,bert-base-cased,0.5880000000000001,2
296,0.189982327844,base,bert-base-cased,0.9410000000000001,4
229,0.2111876476815,ensemble,bert-base-cased,0.681,1
181,0.1494604770718,ensemble,bert-base-cased,0.511,4
174,0.1264639015013,base,bert-base-cased,0.919,4
292,0.1313798271993,ensemble,bert-base-cased,0.671,1
363,0.1550932786019,ensemble,bert-base-cased,0.488,4
377,0.154440324039,ensemble,biobert-base-cased,0.476,4
363,0.1523811479239,ensemble,mxbai-embed-large,0.352,4
362,0.1545063989673,ensemble,mxbai-embed-large,0.35,4
363,0.1549121626585,ensemble,bert-base-italian-xxl-cased,0.42800000000000005,5
365,0.1525225377075,ensemble,biobert-base-cased,0.476,4
375,0.1532183008601,ensemble,biobert-base-cased,0.487,4
488,0.4141536602123,ensemble,bert-base-italian-xxl-cased,0.45399999999999996,4
485,0.1065919568979,ensemble,biobert-base-cased,0.399,8
363,0.4442942958304,ensemble,biobert-base-cased,0.389,9
182,0.1863982428067,ensemble,mxbai-embed-large,0.362,5
105,0.1835532947782,ensemble,mxbai-embed-large,0.385,5
112,0.1858819829811,base,mxbai-embed-large,0.5680000000000001,4
163,0.1825576559951,ensemble,mxbai-embed-large,0.34199999999999997,6
232,0.1799344736188,ensemble,mxbai-embed-large,0.33699999999999997,6
127,0.1794862867904,base,mxbai-embed-large,0.528,6
119,0.1220980099137,ensemble,mxbai-embed-large,0.579,1
456,0.326627991914,ensemble,nomic-embed-text,0.513,1
362,0.2794263941843,base,mxbai-embed-large,0.69,1
351,0.335370142039,ensemble,bert-base-cased,0.363,13
362,0.2288253179478,base,mxbai-embed-large,0.616,2
362,0.315501877282,base,mxbai-embed-large,0.5640000000000001,4
422,0.2928495667927,base,mxbai-embed-large,0.624,2
402,0.4194076708807,base,mxbai-embed-large,0.622,2
401,0.4449164816089,base,mxbai-embed-large,0.5840000000000001,3
